node_id,longitude,latitude,zone_id,borough
248,-74.008346,40.721322,230,Manhattan
249,-74.008325,40.703813,86,Manhattan
250,-74.008322,40.736188,157,Manhattan
251,-74.008302,40.723977,230,Manhattan
252,-74.008296,40.745449,245,Manhattan
253,-74.008288,40.750275,245,Manhattan
254,-74.008269,40.707722,86,Manhattan
255,-74.008254,40.736961,157,Manhattan
256,-74.008246,40.744695,245,Manhattan
257,-74.008233,40.721966,230,Manhattan
258,-74.008207,40.730343,157,Manhattan
259,-74.008206,40.737554,157,Manhattan
260,-74.008205,40.742144,157,Manhattan
261,-74.008154,40.738142,157,Manhattan
262,-74.008143,40.711999,230,Manhattan
263,-74.008126,40.704672,86,Manhattan
264,-74.008126,40.745377,245,Manhattan
265,-74.008117,40.722627,230,Manhattan
266,-74.008103,40.738759,157,Manhattan
267,-74.008051,40.739375,157,Manhattan
268,-74.008025,40.73105,157,Manhattan
269,-74.008014,40.751789,245,Manhattan
270,-74.008007,40.705447,86,Manhattan
271,-74.008004,40.707977,86,Manhattan
272,-74.008003,40.723283,230,Manhattan
273,-74.007989,40.746093,245,Manhattan
274,-74.00798,40.703189,87,Manhattan
275,-74.007957,40.717122,230,Manhattan
276,-74.007949,40.705547,86,Manhattan
277,-74.007941,40.740297,157,Manhattan
278,-74.00794,40.714927,230,Manhattan
279,-74.007912,40.7237,124,Manhattan
280,-74.007869,40.747809,245,Manhattan
281,-74.00786,40.746795,245,Manhattan
282,-74.007828,40.703279,86,Manhattan
283,-74.007817,40.751711,245,Manhattan
284,-74.007816,40.70305,87,Manhattan
285,-74.007808,40.70909,86,Manhattan
286,-74.007807,40.731784,157,Manhattan
287,-74.007766,40.703316,86,Manhattan
288,-74.007745,40.710221,208,Manhattan
289,-74.007731,40.747504,245,Manhattan
290,-74.007705,40.742834,245,Manhattan
291,-74.007688,40.712546,230,Manhattan
292,-74.007671,40.747829,245,Manhattan
293,-74.007671,40.704285,86,Manhattan
294,-74.007669,40.725192,124,Manhattan
295,-74.007644,40.748162,245,Manhattan
296,-74.00764,40.708346,86,Manhattan
297,-74.007629,40.723497,230,Manhattan
298,-74.007568,40.752361,245,Manhattan
299,-74.007557,40.72584,124,Manhattan
300,-74.007544,40.715433,230,Manhattan
301,-74.007533,40.717668,230,Manhattan
302,-74.007523,40.732852,157,Manhattan
303,-74.007483,40.740942,157,Manhattan
304,-74.007459,40.707219,86,Manhattan
305,-74.007452,40.706051,86,Manhattan
306,-74.007434,40.726601,124,Manhattan
307,-74.007413,40.748214,245,Manhattan
308,-74.007392,40.705183,86,Manhattan
309,-74.00736,40.710588,208,Manhattan
310,-74.007344,40.733588,157,Manhattan
311,-74.00732,40.727328,124,Manhattan
312,-74.007293,40.753089,245,Manhattan
313,-74.007286,40.708699,86,Manhattan
314,-74.007242,40.75383,245,Manhattan
315,-74.007238,40.74347,245,Manhattan
316,-74.007225,40.713055,230,Manhattan
317,-74.007203,40.72805,124,Manhattan
318,-74.007162,40.734296,157,Manhattan
319,-74.00713,40.706375,86,Manhattan
320,-74.007118,40.711712,230,Manhattan
321,-74.007097,40.715998,230,Manhattan
322,-74.007091,40.728768,124,Manhattan
323,-74.007054,40.709872,86,Manhattan
324,-74.007052,40.74889,245,Manhattan
325,-74.007052,40.718269,230,Manhattan
326,-74.007047,40.70375,86,Manhattan
327,-74.007035,40.753777,245,Manhattan
328,-74.007024,40.711736,230,Manhattan
329,-74.00698,40.735002,157,Manhattan
330,-74.006973,40.729497,157,Manhattan
331,-74.00697,40.741628,67,Manhattan
332,-74.00696,40.719103,230,Manhattan
333,-74.00695,40.704802,86,Manhattan
334,-74.006932,40.748877,245,Manhattan
335,-74.006864,40.75452,245,Manhattan
336,-74.006857,40.730228,157,Manhattan
337,-74.006838,40.707858,86,Manhattan
338,-74.006811,40.744061,67,Manhattan
339,-74.006809,40.719778,230,Manhattan
340,-74.006799,40.735723,157,Manhattan
341,-74.006781,40.706724,86,Manhattan
342,-74.006766,40.705624,86,Manhattan
343,-74.006753,40.713618,230,Manhattan
344,-74.006737,40.730947,248,Manhattan
345,-74.006694,40.720437,230,Manhattan
346,-74.006674,40.716532,230,Manhattan
347,-74.00665,40.754429,245,Manhattan
348,-74.006624,40.731669,248,Manhattan
349,-74.006621,40.736432,157,Manhattan
350,-74.006597,40.749553,245,Manhattan
351,-74.006593,40.718862,230,Manhattan
352,-74.006586,40.715767,230,Manhattan
353,-74.006531,40.708227,86,Manhattan
354,-74.006501,40.732426,248,Manhattan
355,-74.006498,40.736957,157,Manhattan
356,-74.006487,40.73755,157,Manhattan
357,-74.006478,40.711231,208,Manhattan
358,-74.00647,40.738139,157,Manhattan
359,-74.00646,40.738754,157,Manhattan
360,-74.006456,40.706982,86,Manhattan
361,-74.006449,40.739405,157,Manhattan
362,-74.006435,40.709557,86,Manhattan
363,-74.006434,40.721815,230,Manhattan
364,-74.006432,40.719082,230,Manhattan
365,-74.006428,40.720405,230,Manhattan
366,-74.006407,40.733054,248,Manhattan
367,-74.006385,40.744646,245,Manhattan
368,-74.006353,40.722587,230,Manhattan
369,-74.006334,40.739631,157,Manhattan
370,-74.00631,40.714166,230,Manhattan
371,-74.006306,40.704223,86,Manhattan
372,-74.006294,40.733742,248,Manhattan
373,-74.006246,40.717083,230,Manhattan
374,-74.006233,40.723121,124,Manhattan
375,-74.006227,40.749913,245,Manhattan
376,-74.006181,40.734439,248,Manhattan
377,-74.006166,40.716301,230,Manhattan
378,-74.006134,40.719445,230,Manhattan
379,-74.006116,40.723746,124,Manhattan
380,-74.006088,40.71197,230,Manhattan
381,-74.006076,40.709918,208,Manhattan
382,-74.006069,40.735134,157,Manhattan
383,-74.00604,40.724403,124,Manhattan
384,-74.006023,40.750166,245,Manhattan
385,-74.006021,40.706142,86,Manhattan
386,-74.006021,40.707905,86,Manhattan
387,-74.00596,40.735845,248,Manhattan
388,-74.00596,40.745231,245,Manhattan
389,-74.005958,40.740135,157,Manhattan
390,-74.005951,40.707205,86,Manhattan
391,-74.00594,40.719694,230,Manhattan
392,-74.005894,40.725026,124,Manhattan
393,-74.005889,40.714678,230,Manhattan
394,-74.005864,40.740261,157,Manhattan
395,-74.005854,40.736534,157,Manhattan
396,-74.005849,40.71168,208,Manhattan
397,-74.00583,40.733139,248,Manhattan
398,-74.005781,40.725674,124,Manhattan
399,-74.005777,40.717677,230,Manhattan
400,-74.005752,40.737123,248,Manhattan
401,-74.005706,40.731627,248,Manhattan
402,-74.005691,40.706375,86,Manhattan
403,-74.005687,40.737552,248,Manhattan
404,-74.005658,40.726435,124,Manhattan
405,-74.005655,40.720057,230,Manhattan
406,-74.005599,40.710397,208,Manhattan
407,-74.005591,40.738139,248,Manhattan
408,-74.005567,40.750747,245,Manhattan
409,-74.005545,40.727157,124,Manhattan
410,-74.005539,40.736916,248,Manhattan
411,-74.005535,40.745816,245,Manhattan
412,-74.005522,40.705791,86,Manhattan
413,-74.005512,40.709093,86,Manhattan
414,-74.005495,40.738754,157,Manhattan
415,-74.005482,40.707387,86,Manhattan
416,-74.005463,40.732448,248,Manhattan
417,-74.005427,40.727879,124,Manhattan
418,-74.00542,40.715236,230,Manhattan
419,-74.00539,40.739412,248,Manhattan
420,-74.005366,40.740945,157,Manhattan
421,-74.005323,40.718274,230,Manhattan
422,-74.005315,40.728601,124,Manhattan
423,-74.005314,40.736611,248,Manhattan
424,-74.005304,40.722197,210,Manhattan
425,-74.005292,40.721766,230,Manhattan
426,-74.005291,40.740024,248,Manhattan
427,-74.005269,40.728853,248,Manhattan
428,-74.005238,40.756227,245,Manhattan
429,-74.005208,40.720628,230,Manhattan
430,-74.005203,40.705997,86,Manhattan
431,-74.005187,40.719838,230,Manhattan
432,-74.005181,40.729447,248,Manhattan
433,-74.005174,40.719005,230,Manhattan
434,-74.005158,40.740858,248,Manhattan
435,-74.005126,40.735961,248,Manhattan
436,-74.005124,40.709403,208,Manhattan
437,-74.005111,40.751389,245,Manhattan
438,-74.00511,40.746371,67,Manhattan
439,-74.005107,40.731836,248,Manhattan
440,-74.005082,40.741336,67,Manhattan
441,-74.005059,40.722978,124,Manhattan
442,-74.005003,40.706853,86,Manhattan
443,-74.004976,40.71576,230,Manhattan
444,-74.004965,40.756954,245,Manhattan
445,-74.004939,40.731544,248,Manhattan
446,-74.004932,40.735304,248,Manhattan
447,-74.004861,40.741642,67,Manhattan
448,-74.004845,40.718853,230,Manhattan
449,-74.00483,40.737548,248,Manhattan
450,-74.004827,40.70966,208,Manhattan
451,-74.004819,40.713475,230,Manhattan
452,-74.004786,40.723625,124,Manhattan
453,-74.004774,40.708407,208,Manhattan
454,-74.004771,40.756869,245,Manhattan
455,-74.004749,40.705232,86,Manhattan
456,-74.004748,40.73466,248,Manhattan
457,-74.004739,40.724267,124,Manhattan
458,-74.004688,40.730321,248,Manhattan
459,-74.004672,40.751966,245,Manhattan
460,-74.004653,40.747023,245,Manhattan
461,-74.004635,40.721354,210,Manhattan
462,-74.004626,40.731003,248,Manhattan
463,-74.004575,40.724173,124,Manhattan
464,-74.004561,40.73401,248,Manhattan
465,-74.004558,40.706407,86,Manhattan
466,-74.00453,40.716287,230,Manhattan
467,-74.00446,40.730719,248,Manhattan
468,-74.004448,40.722718,210,Manhattan
469,-74.004439,40.705429,86,Manhattan
470,-74.004435,40.713996,230,Manhattan
471,-74.004416,40.742284,67,Manhattan
472,-74.00438,40.724055,210,Manhattan
473,-74.004373,40.719467,230,Manhattan
474,-74.004325,40.707834,208,Manhattan
475,-74.004303,40.730447,248,Manhattan
476,-74.004253,40.710166,208,Manhattan
477,-74.004244,40.733363,248,Manhattan
478,-74.004223,40.731128,248,Manhattan
479,-74.004221,40.752604,245,Manhattan
480,-74.004175,40.738134,248,Manhattan
481,-74.004168,40.74769,245,Manhattan
482,-74.004059,40.713135,230,Manhattan
483,-74.004039,40.707466,208,Manhattan
484,-74.004031,40.725513,124,Manhattan
485,-74.004026,40.716871,230,Manhattan
486,-74.003976,40.732915,248,Manhattan
487,-74.003969,40.742863,67,Manhattan
488,-74.003968,40.729879,248,Manhattan
489,-74.003929,40.720854,230,Manhattan
490,-74.003918,40.72004,230,Manhattan
491,-74.003874,40.738139,248,Manhattan
492,-74.003869,40.705793,86,Manhattan
493,-74.003866,40.737544,248,Manhattan
494,-74.003865,40.739418,248,Manhattan
495,-74.003861,40.738395,248,Manhattan
496,-74.00386,40.738753,248,Manhattan
497,-74.003837,40.710545,208,Manhattan
498,-74.00383,40.723449,210,Manhattan
499,-74.003797,40.753222,245,Manhattan
500,-74.003791,40.731893,248,Manhattan
501,-74.003768,40.722384,210,Manhattan
502,-74.00373,40.72625,210,Manhattan
503,-74.003714,40.736839,248,Manhattan
504,-74.003684,40.748355,245,Manhattan
505,-74.003657,40.729344,248,Manhattan
506,-74.003654,40.710964,208,Manhattan
507,-74.003638,40.713642,230,Manhattan
508,-74.003635,40.723682,210,Manhattan
509,-74.003583,40.73231,248,Manhattan
510,-74.003542,40.743448,67,Manhattan
511,-74.003533,40.717449,230,Manhattan
512,-74.003527,40.736178,248,Manhattan
513,-74.003512,40.720557,210,Manhattan
514,-74.003446,40.738756,248,Manhattan
515,-74.003445,40.726958,124,Manhattan
516,-74.003404,40.714151,230,Manhattan
517,-74.003376,40.725252,210,Manhattan
518,-74.003366,40.71079,208,Manhattan
519,-74.003364,40.708138,208,Manhattan
520,-74.003342,40.735539,248,Manhattan
521,-74.003299,40.731743,248,Manhattan
522,-74.003297,40.728713,248,Manhattan
523,-74.003259,40.720377,210,Manhattan
524,-74.003236,40.748974,245,Manhattan
525,-74.003155,40.727664,124,Manhattan
526,-74.003154,40.734896,248,Manhattan
527,-74.003139,40.731465,248,Manhattan
528,-74.003122,40.726878,124,Manhattan
529,-74.003116,40.744035,67,Manhattan
530,-74.003108,40.707671,208,Manhattan
531,-74.003099,40.728392,248,Manhattan
532,-74.003083,40.739077,248,Manhattan
